Cluster_0,Cluster_1,Cluster_2,Cluster_3
afghanistan,albanien,argentinien,belgien
ägypten,armenien,australien,bulgarien
algerien,aserbaidschan,brasilien,dänemark
angola,belarus,china,estland
äthiopien,bosnien_und_herzegowina,hongkong,finnland
bangladesch,georgien,indien,frankreich
chile,kasachstan,japan,griechenland
ghana,kuba,kanada,irland
indonesien,mazedonien,malaysia,island
irak,montenegro,neuseeland,italien
iran,serbien,singapur,kroatien
israel,ukraine,südafrika,lettland
kambodscha,,südkorea,litauen
kenia,,usa,luxemburg
kolumbien,,,malta
kongo,,,niederlande
libyen,,,norwegen
mali,,,österreich
mexiko,,,polen
mosambik,,,portugal
namibia,,,rumänien
nepal,,,schweden
niger,,,schweiz
nigeria,,,slowakei
nordkorea,,,slowenien
pakistan,,,spanien
philippinen,,,tschechien
ruanda,,,ungarn
saudi_arabien,,,vereinigtes_königreich
senegal,,,zypern
somalia,,,
sudan,,,
südsudan,,,
syrien,,,
tansania,,,
thailand,,,
türkei,,,
uganda,,,
vietnam,,,
