Cluster_0,Cluster_1,Cluster_2,Cluster_3
afghanistan,albanien,argentinien,belgien
ägypten,armenien,australien,bulgarien
algerien,aserbaidschan,brasilien,dänemark
angola,belarus,china,estland
äthiopien,bosnien_und_herzegowina,hongkong,finnland
bangladesch,georgien,indien,frankreich
chile,kasachstan,japan,griechenland
ghana,mazedonien,malaysia,irland
indonesien,montenegro,neuseeland,island
irak,serbien,singapur,italien
iran,ukraine,südafrika,kanada
israel,,südkorea,kroatien
kambodscha,,usa,lettland
kenia,,vietnam,litauen
kolumbien,,,luxemburg
kongo,,,malta
kuba,,,niederlande
libyen,,,norwegen
mali,,,österreich
mexiko,,,polen
mosambik,,,portugal
namibia,,,rumänien
nepal,,,schweden
niger,,,schweiz
nigeria,,,slowakei
nordkorea,,,slowenien
pakistan,,,spanien
philippinen,,,tschechien
ruanda,,,ungarn
saudi_arabien,,,vereinigtes_königreich
senegal,,,zypern
somalia,,,
sudan,,,
südsudan,,,
syrien,,,
tansania,,,
thailand,,,
türkei,,,
uganda,,,
