Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,irland
bangladesch,island
belarus,italien
bosnien_und_herzegowina,japan
brasilien,kanada
chile,lettland
china,litauen
georgien,luxemburg
ghana,malta
hongkong,neuseeland
indien,niederlande
indonesien,norwegen
irak,österreich
iran,polen
israel,portugal
kambodscha,rumänien
kasachstan,schweden
kenia,schweiz
kolumbien,singapur
kongo,slowakei
kroatien,slowenien
kuba,spanien
libyen,tschechien
malaysia,ukraine
mali,ungarn
mazedonien,usa
mexiko,vereinigtes_königreich
montenegro,zypern
mosambik,
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
vietnam,
